match_minute,match_second,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,outcome,position_xM,position_yM,distance_to_goalM,angle,distance_to_centerM,isGoal,isFoot,isHeader,team,period,start_frame,end_frame
2,57,1,2,1,Missed,39.22,18.36,22.956001393971032,53.11013519012266,18.36,0,1,0,Home,1,4419,4443
8,8,1,0,2,Goal,47.7,-3.400000000000003,6.296824596572465,32.68055474336344,3.400000000000003,1,1,0,Home,1,12202,12212
10,59,0,0,1,Saved,41.34,11.559999999999999,16.419171720887746,44.753249675737,11.559999999999999,0,1,0,Home,1,16484,16499
12,21,1,0,1,Blocked,31.800000000000004,10.200000000000001,23.5261556570554,25.69369965939963,10.200000000000001,0,1,0,Away,1,18515,18520
18,14,1,1,4,Missed,43.46,-6.119999999999997,11.334284273830436,32.68055474336339,6.119999999999997,0,0,1,Home,1,27345,27360
19,50,1,0,1,Saved,31.799999999999997,-13.599999999999998,25.187298386289868,32.680554743363395,13.599999999999998,0,1,0,Home,1,29754,29777
35,22,0,0,1,Goal,44.52,2.719999999999999,8.905548832048474,17.783888442692525,2.719999999999999,1,1,0,Away,1,53049,53075
37,23,1,0,2,Missed,42.400000000000006,6.120000000000002,12.239869280347724,30.000353286369982,6.120000000000002,0,0,1,Home,1,56079,56131
42,14,1,0,1,Missed,45.580000000000005,0.6800000000000006,7.45109387942468,5.236199821000084,0.6800000000000006,0,0,1,Away,1,63362,63372
43,11,1,1,1,Saved,28.62,-3.400000000000003,24.61593792647357,7.939182963581337,3.400000000000003,0,1,0,Away,1,64772,64799
44,43,5,2,1,Missed,39.22,-18.36,22.956001393971032,53.11013519012266,18.36,0,1,0,Home,1,67067,67107
46,35,0,2,2,Missed,30.740000000000002,10.880000000000003,24.77664222609674,26.04795529347313,10.880000000000003,0,1,0,Away,2,69887,69927
49,19,0,1,1,Goal,47.699999999999996,1.3600000000000012,5.471709056592835,14.391797819212883,1.3600000000000012,1,0,1,Home,2,73983,73995
57,28,0,1,3,Missed,32.86,2.7200000000000024,20.322844289124493,7.691521098168267,2.7200000000000024,0,1,0,Away,2,86191,86219
60,7,4,1,1,Saved,46.64,-11.559999999999999,13.194059269231738,61.18159624518258,11.559999999999999,0,1,0,Away,2,90165,90176
65,55,0,0,1,Saved,48.76,-4.08,5.884216175498655,43.89829388479361,4.08,0,1,0,Home,2,98880,98896
74,30,4,0,2,Blocked,43.46,-7.479999999999999,12.122788458106491,38.09882653581389,7.479999999999999,0,1,0,Away,2,111758,111763
76,40,0,2,3,Goal,40.28,1.3600000000000012,12.79249780144597,6.102779653655789,1.3600000000000012,1,1,0,Away,2,115009,115024
78,9,3,1,1,Missed,41.34,7.479999999999999,13.853014112459421,32.6805547433634,7.479999999999999,0,0,1,Home,2,117218,117245
80,41,1,0,1,Goal,30.740000000000002,5.439999999999998,22.915086733416477,13.733029853216513,5.439999999999998,1,1,0,Home,2,121027,121055
82,53,0,1,2,Missed,45.580000000000005,0.0,7.419999999999995,0.0,0.0,0,0,1,Home,2,124336,124365
88,23,3,3,2,Missed,33.92,-8.16,20.751674631219522,23.155085753965576,8.16,0,1,0,Away,2,132570,132597
90,42,2,3,1,Missed,47.7,-2.719999999999999,5.957214113996572,27.167236895859045,2.719999999999999,0,0,1,Away,2,136060,136078
93,16,0,1,2,Saved,21.199999999999996,1.3600000000000012,31.829068475216175,2.4488932239459795,1.3600000000000012,0,1,0,Home,2,139891,139925
