match_minute,match_second,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,interference_on_shooter_number_players,outcome,position_xM,position_yM,distance_to_goalM,angle,distance_to_centerM,isGoal,isFoot,isHeader,team,period,start_frame,end_frame,subtype,isPenalty,isDirectFK,prob_no_goal,prob_goal,xG
2,57,1,2,Medium,1,Missed,39.22,18.36,22.95600139,53.11013519,18.36,0,1,0,Home,1,4419,4443,OFF TARGET-OUT,0,0,0.976932453,0.023067547,0.023067547
8,8,1,0,High,2,Goal,47.7,-3.4,6.296824597,32.68055474,3.4,1,1,0,Home,1,12202,12212,ON TARGET-GOAL,0,0,0.765361323,0.234638677,0.234638677
10,59,0,0,Medium,1,Saved,41.34,11.56,16.41917172,44.75324968,11.56,0,1,0,Home,1,16484,16499,ON TARGET-SAVED,0,0,0.90873082,0.09126918,0.09126918
12,21,1,0,Medium,1,Blocked,31.8,10.2,23.52615566,25.69369966,10.2,0,1,0,Away,1,18515,18520,BLOCKED,0,0,0.916647158,0.083352842,0.083352842
18,14,1,1,High,4,Missed,43.46,-6.12,11.33428427,32.68055474,6.12,0,0,1,Home,1,27345,27360,BLOCKED,0,0,0.962584797,0.037415203,0.037415203
19,50,1,0,Medium,1,Saved,31.8,-13.6,25.18729839,32.68055474,13.6,0,1,0,Home,1,29754,29777,HEAD-OFF TARGET-OUT,0,0,0.972568072,0.027431928,0.027431928
35,22,0,0,Medium,1,Goal,44.52,2.72,8.905548832,17.78388844,2.72,1,1,0,Away,1,53049,53075,ON TARGET-GOAL,0,0,0.621421265,0.378578735,0.378578735
37,23,1,0,High,2,Missed,42.4,6.12,12.23986928,30.00035329,6.12,0,0,1,Home,1,56079,56131,HEAD-OFF TARGET-OUT,0,0,0.948367663,0.051632337,0.051632337
42,14,1,0,Medium,1,Missed,45.58,0.68,7.451093879,5.236199821,0.68,0,0,1,Away,1,63362,63372,OFF TARGET-HEAD-OUT,0,0,0.747779106,0.252220894,0.252220894
43,11,1,1,Medium,1,Saved,28.62,-3.4,24.61593793,7.939182964,3.4,0,1,0,Away,1,64772,64799,ON TARGET-SAVED,0,0,0.966866028,0.033133972,0.033133972
44,43,5,2,Medium,1,Missed,39.22,-18.36,22.95600139,53.11013519,18.36,0,1,0,Home,1,67067,67107,OFF TARGET-OUT,0,0,0.965064791,0.034935209,0.034935209
46,35,0,2,High,2,Missed,30.74,10.88,24.77664223,26.04795529,10.88,0,1,0,Away,2,69887,69927,OFF TARGET-OUT,0,0,0.952828185,0.047171815,0.047171815
49,19,0,1,Medium,1,Goal,47.7,1.36,5.471709057,14.39179782,1.36,1,0,1,Home,2,73983,73995,HEAD-ON TARGET-GOAL,0,0,0.748540561,0.251459439,0.251459439
57,28,0,1,High,3,Missed,32.86,2.72,20.32284429,7.691521098,2.72,0,1,0,Away,2,86191,86219,OFF TARGET-OUT,0,0,0.949645542,0.050354458,0.050354458
60,7,4,1,Medium,1,Saved,46.64,-11.56,13.19405927,61.18159625,11.56,0,1,0,Away,2,90165,90176,ON TARGET-SAVED,0,0,0.865293777,0.134706223,0.134706223
65,55,0,0,Medium,1,Saved,48.76,-4.08,5.884216175,43.89829388,4.08,0,1,0,Home,2,98880,98896,ON TARGET-SAVED,0,0,0.549588342,0.450411658,0.450411658
74,30,4,0,High,2,Blocked,43.46,-7.48,12.12278846,38.09882654,7.48,0,1,0,Away,2,111758,111763,BLOCKED,0,0,0.856508513,0.143491487,0.143491487
76,40,0,2,High,3,Goal,40.28,1.36,12.7924978,6.102779654,1.36,1,1,0,Away,2,115009,115024,ON TARGET-GOAL,1,0,0.675666232,0.324333768,0.76
78,9,3,1,Medium,1,Missed,41.34,7.48,13.85301411,32.68055474,7.48,0,0,1,Home,2,117218,117245,HEAD-OFF TARGET-OUT,0,0,0.972026121,0.027973879,0.027973879
80,41,1,0,Medium,1,Goal,30.74,5.44,22.91508673,13.73302985,5.44,1,1,0,Home,2,121027,121055,ON TARGET-GOAL,0,0,0.945520163,0.054479837,0.054479837
82,53,0,1,High,2,Missed,45.58,0,7.42,0,0,0,0,1,Home,2,124336,124365,HEAD-OFF TARGET-OUT,0,0,0.866691854,0.133308146,0.133308146
88,23,3,3,High,2,Missed,33.92,-8.16,20.75167463,23.15508575,8.16,0,1,0,Away,2,132570,132597,OFF TARGET-OUT,0,0,0.979602587,0.020397413,0.020397413
90,42,2,3,Medium,1,Missed,47.7,-2.72,5.957214114,27.1672369,2.72,0,0,1,Away,2,136060,136078,HEAD-OFF TARGET-OUT,0,0,0.904753702,0.095246298,0.095246298
93,16,0,1,High,2,Saved,21.2,1.36,31.82906848,2.448893224,1.36,0,1,0,Home,2,139891,139925,ON TARGET-SAVED,0,1,0.990634457,0.009365543,0.009365543
