match_minute,match_second,outcome,position_xM,position_yM,position_xM_r,position_yM_r,distance_to_goalM,angle,distance_to_centerM,isGoal,BodyPart,isFoot,isHead,team,period,start_frame,end_frame,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,interference_on_shooter_number_players,subtype,isPenalty,isDirectFK,xG_LR,prob_no_goal,prob_goal,xG_XGB,diff_xG,percentage_variance_xG
2,57,Missed,39.22,18.36,-39.22,-18.36,22.95600139,53.11013519,18.36,0,Foot,1,0,Home,1,4419,4443,3,0,Medium,1,OFF TARGET-OUT,0,0,0.0230675471037437,0.9908868,0.009113163,0.009113163,0.013954384347777512,-60.49
8,8,Goal,47.7,-3.4,-47.7,3.4,6.296824597,32.68055474,3.4,1,Foot,1,0,Home,1,12202,12212,1,0,High,2,ON TARGET-GOAL,0,0,0.2346386771450693,0.7903112,0.2096888,0.2096888,0.024949879551952547,-10.63
10,59,Saved,41.34,11.56,-41.34,-11.56,16.41917172,44.75324968,11.56,0,Foot,1,0,Home,1,16484,16499,2,0,Medium,1,ON TARGET-SAVED,0,0,0.0912691802029448,0.9323975,0.067602515,0.067602515,0.023666664982302715,-25.93
12,21,Blocked,31.8,10.2,-31.8,-10.2,23.52615566,25.69369966,10.2,0,Foot,1,0,Away,1,18515,18520,1,1,Low,0,BLOCKED,0,0,0.0833528420504973,0.91870326,0.08129675,0.08129675,0.002056092637483839,-2.47
18,14,Missed,43.46,-6.12,-43.46,6.12,11.33428427,32.68055474,6.12,0,Head,0,1,Home,1,27345,27360,1,1,High,2,BLOCKED,0,0,0.0374152027035217,0.94023645,0.059763566,0.059763566,-0.02234836295600131,59.73
19,50,Saved,31.8,-13.6,-31.8,13.6,25.18729839,32.68055474,13.6,0,Foot,1,0,Home,1,29754,29777,3,1,Low,0,HEAD-OFF TARGET-OUT,0,0,0.0274319284701165,0.9934645,0.0065354835,0.0065354835,0.0208964449459132,-76.18
35,22,Goal,44.52,2.72,-44.52,-2.72,8.905548832,17.78388844,2.72,1,Foot,1,0,Away,1,53049,53075,1,0,Medium,1,ON TARGET-GOAL,0,0,0.3785787349256332,0.7182948,0.2817052,0.2817052,0.09687353425348355,-25.59
37,23,Missed,42.4,6.12,-42.4,-6.12,12.23986928,30.00035329,6.12,0,Head,0,1,Home,1,56079,56131,2,0,Low,0,HEAD-OFF TARGET-OUT,0,0,0.0516323365162988,0.92415506,0.07584493,0.07584493,-0.024212592105946985,46.89
42,14,Missed,45.58,0.68,-45.58,-0.68,7.451093879,5.236199821,0.68,0,Head,0,1,Away,1,63362,63372,1,0,Medium,1,OFF TARGET-HEAD-OUT,0,0,0.2522208941950244,0.82407916,0.17592084,0.17592084,0.07630005011696045,-30.25
43,11,Saved,28.62,-3.4,-28.62,3.4,24.61593793,7.939182964,3.4,0,Foot,1,0,Away,1,64772,64799,3,1,Medium,1,ON TARGET-SAVED,0,0,0.0331339715033521,0.9500951,0.049904868,0.049904868,-0.016770896503354137,50.62
44,43,Missed,39.22,-18.36,-39.22,18.36,22.95600139,53.11013519,18.36,0,Foot,1,0,Home,1,67067,67107,2,0,Medium,1,OFF TARGET-OUT,0,0,0.0349352087578626,0.9897863,0.010213671,0.010213671,0.02472153750573114,-70.76
